instruction,response
"How did the your early engagement with the anomalous Zeeman effect, their unconventional approach to quantum numbers, and their experience with Sommerfeld and Lande shape their unique educational journey in physics, and how does the your reflect on the blend of theoretical and practical learning that characterized their initial training in the field?","That was the autumn of 1920, yes, as I recall. One can never be certain ... It was very shortly after this paper of Sommerfeld. Sommerfeld at once thought that if this multiplication law is correct, it simply means that you can disentangle the levels, and that is, of course, a simple thins to do. Well, in some way, he must have had difficulties because probably he had tried himself: and in some way it didn't work out as he wanted. And I know the reason; he felt that he must do it with integral quantum numbers, and then, of course, it didn't work out. Since I was a complete dilettante and amateur and didn't know anything, I thought, 'Well, why not try half quantum numbers?' Then we had a long discussion whether half quantum numbers would be allowed or would not be allowed, but finally it was agreed upon that probably half quantum numbers were correct. Then Sommerfeld had received a letter from Lande telling him that he was interested, and in some way he was closer to the experiment; he had worked with Paschcn and rack in Tubingen. So I think that I have not published on this thing and that only Lande has published on it, which was quite all right because he had started earlier. Anyway I remember this story about the half quantum numbers very well. For quite a long time nobody knew whether that was decent physics or was not. I mean, nobody, of course, thought about the (half integral) representation of the group theoretical side of this problem. That was far away still. So that was at least my entrance into physics at that time. I started at once with the anomalous Zeeman effect; that was practically the very beginning of my study in physics, and, again, it contributed to a very irregular education and training in physics. On the one hand, I learned quantum theory and Bohr's quantum conditions. On the other hand, I had first to learn classical mechanics; well, I had to solve the ordinary training problems, and so on. Still it was great fun; it was much more fun for a student to solve problems than just to study and to hear lectures."
"How did the your early education in classical mechanics, particularly through the Kepler problem, and their subsequent in-depth learning under Sommerfeld shape their understanding of physics, and what impact did Sommerfeld’s personalized teaching approach, optimism about Bohr’s work, and the discussions with Pauli have on the your perspective on the nature of scientific discovery, particularly in relation to Bohr’s intuition and its limitations?","Well, in school we had very little. In school, yes, we had in school the very elements of classical, mechanics; there is a law that mass times acceleration is force. And, of course, then I tried in school to solve the differential equations for the Kepler ellipse. And in that I did succeed; I mean, I could at least do differential calculus to the extent that I could solve the Kepler problem. So that I had done, and so far I knew a bit about classical mechanics. But still the real fundamentals — I mean, the axioms and all that kind, of thing — that I first learned when I was in Sommerfeld's lectures. Sommerfeld was an excellent teacher simply as regards the time which he took for every student. I think almost every morning I was in Sommerfeld's room for at least one hour or two hours, and he would ask me questions and talk to me and so on. He made an enormous effort with his pupils, which is, of course, the first condition of being a good teacher; that is obvious. Well, he had this ability to fascinate people, to induce them to attack the problems by saying, 'Well, I can't solve these problems, now you try it.' He said that kind of thing. That is, of course, a thing which appeals to the young men; then they will try to use their force. So that was a great time I had from the very beginning. Then, I remember, very shortly after that time of the anomalous Zeeman effect, Sommerfeld gave me the papers of Bohr which had just appeared. And Sommerfeld was so optiristic that he said, 'Well, now it seems that Bohr can calculate the whole periodic system of elements because now here he writes about all the different stationary states of the different elements. That must mean that now he has got the key to calculating all the stationary states.' Also Pauli, who was also in Sommerfeld's seminar at that time, was quite optimistic. Only later we discovered that this was all guessed by Bohr, but not calculated; and that it was all his enormous intuition. He knew how things were, and there was not any way of calculating it. Well now should we stop, perhaps, at this point, or shall we go on?"
"How did your diverse academic experiences, including your exposure to mathematics, astronomy, and physical chemistry, shape your educational development, and what role did your relationship with teachers like Rosenthal play in fostering your passion for problem-solving, while contrasting this with your lack of interest in more formal, exact mathematics as taught in Pringsheim’s lectures?","I tried to get some training. I did go to the lectures of Lindemann and Voss in mathematics. I went to the lectures in astronomy to get some information about astronomy. I did also go to lectures in Physical chemistry; to Herzfeld, for instance. Herzfeld was a good teacher, so I liked his lectures. I got the best mathematical training with Rosenthal. He was a mathematician who later on went to the United States. I have met him still some years ago in the States, but I have been informed that he has died recently. He was a very nice gentleman; he was small, had a tiny figure, and was very lively. And he was, again, an excellent teacher; he could make mathematics so interesting that one tried to solve all the problems. So actually we had exercises with the lecture, and the students had to solve problems. And it turned out that practically all the problems, through the whole term, were only solved by always two students in turn. One was the present Professor (Sauer) at the Technische Hochschule in Munich and the other one was myself. So we always traded it around, and either he would solve the problem or I would; no other one did them. But this made a little game, and we had great fun from it. That was all at this time. At the same time I attended the lectures of on the theory of functions and the proofs of convergency, and so on. And I was terribly bored; I didn't like it at all. I had no success whatsoever with Pringsheim lectures. That kind of exact mathematics, you know, where you prove that it converges within this and this range, and so on, in some way never appealed to me. So I had no success, and I went away again."
"Once you had made the first connection with Sommerfeld, was the decision about physics sort of automatically made? Or did you think again of doing mathematics?","I think it was more or less automatically made. That is I did still think of mathematics, but then, again, the fact that I had no success with Pringsheim's lectures, in some way taught me that I was not very well suited for a study of mathematics. I would say I was too schlampig for mathematics. ... So it was more or less automatic that I went into physics, and I got interested in relativity. Then I met Pauli among Sommerfeld's students; and he had a very strong influence on me. I mean, Pauli was simply, also, a very strong personality, you know. He would talk to and he was extremely critical. I don't know how frequently he told me, 'You are a complete fool,' and so on. helped a lot, you know. So we always were very good friends, and we never minded when we criticized each other. So that was very nice."
You knew Pauli then from the very beginning? Was he in that first seminar you were in?,"Yes; he was already at Sommerfeld's when I came there, so I met him. Well I don't recall what our first conversation was. Yes, I do even recall our first conversation. I had seen him sitting there at a desk in the seminar but never spoke a word with him, and at that time somehow I got interested in general relativity. Sommerfeld had talked about a letter he had gotten from Einstein about general relativity — whether there vas a red shift or was no red shift, and so on. And I had studied this book of Weyl's again, and I had not understood the special formula about — well, there was a formula I couldn't understand. So I thought 'Well, there is this Pauli.' And Pauli had written on general relativity; that I knew of. And he was writing a book on it. So I asked him, and he then explained the thing to me. He always knew everything, and so i think that was definitely our first conversation. So then I was impressed that a man of my age already knew all about general relativity, and so I was at once interested in this fellow student who sat there and knew so much. And from that time on, we started again and again discussing things. Then when the Bohr paper came, Pauli was interested. Then I asked him, 'What do you think about this new paper of Bohr's? How did he calculate it, and so on?' So that was a very early connection."
"How did your preference for discovering how things work in mathematics, rather than focusing on formal proofs, shape your approach to learning, and why did you find the process of proving mathematical concepts to be unappealing, comparing it to a process of “cheating” where the journey through the reasoning felt disconnected from the outcome?","Yes, that's quite interesting. I would say, I had never much fun in mathematics where you have to prove something. But I had much fun in mathematics where you have to find out how things are. I don't know whether that says anything, but I think it's that way. This proving of such and such I found to be almost like cheating. You start somewhere, and then you go into a dark tunnel and then you come out some other place. You find you have proved what you wanted to prove, but in the tunnel you don't see anything. So I never liked that very much."
Was there much industrial physics in Germany then? ,"I would say, yes, there was a lot of industrial chemistry, and industrial physics did start to some extent. I would say that an experimental physicist had a good chance, or, at least, a finer chance to set a job at the Siemens factory or at the A.E.G. — at the electric factories, or in optics, or so. But a theoretical physicist had not much chance, so that was a question. Only later when there was a definite hope that I could enter at the University, then my father was somewhat —. Well, he felt that it was all right. But I remember that still —. You know, I was very little successful with my doctor's thesis; I almost didn't make the examination in the doctor's degree. Then my father was so worried that he wrote a long letter to Max Born asking him for his serious advice about whether his boy was on the right track. Because after such a poor examination on the doctor's thesis it seemed quite doubtful to my father whether I would have a chance to enter into science. But Born was quite optimistic about it, so that was all right."
"Would, your father have had the same sorts of worries about a career if you had been in mathematics? Were there school jobs in mathematics that there were not in physics?","Well, perhaps he would have thought that mathematics was a more firmly established subject than theoretical physics. My father knew about some troubles within the University between experimental physics and theoretical physics. Here in Munich, there was really a rather difficult situation between Willy Wien, who was an experimental physicist, and Sommerfeld. Now, this difference between the two men was perhaps, partly, a political difference. I would say Willy Wien was very much on the right side of politics, and Sommerfeld on the left side, if these terms left and right mean anything. Besides that Willy Wien considered experimental physics as the center of physics, and in some way he disliked theoretical physics. He still, of course, had been a theoretical physicist himself — you know Wien's law. But certainly one would say that he disliked every Physics which was not as clear as classical Physics, so quantum conditions and that sort of thing, that he considered as a kind of weak talk which meant almost nothing. And I do remember that Willy Wien gave, when he was rector of the University, a speech about atomic physics and never mentioned the name of Sommerfeld. Everyone felt that that is a thing that one can't do because Sommerfeld after all was a very famous and certainly a very good physicist. So there was lots of trouble between the two, and my father was worried because he saw this trouble and saw that men like Wien just disliked theoretical physics as a kind of subject."
"The philosophical and professional divide between Sommerfeld and Willy Wien, particularly in regard to quantum theory, must have had a significant impact on the academic atmosphere. Sommerfeld’s strong intuition and foresight into the potential of quantum mechanics contrasted sharply with Wien’s more traditional, classical view. Wien’s reluctance to accept the non-classical nature of quantum theory and his opposition to the uncertain knowledge surrounding it, as well as his admiration for Schrödinger’s wave mechanics, reflected his desire to return to a more deterministic and classical framework.It seems that for Sommerfeld, the absence of full mathematical clarity in quantum theory was not a hindrance but a signal of its deeper, intuitive significance. How do you think this tension between theory and intuition played a role in shaping the evolution of physics during this period?","I would say it was the first thing; he was against the non-classical nature. It was this thing which people criticized as Sommerfeld's mysticism. I mean, you know he was enthusiastic for having integral numbers and that hind of thing. He knew, of course, quite well that quantum theory was not consistent. I mean, as he did classical physics he was a very good physicist and has written a number of excellent papers which wore comletely clear. On the other hand, he had an enormous instinct, or intuition for how physics really is. Therefore, he didn't mind contradictions when he knew, 'Well, finally this must be so.' So I was always greatly impressed by this ability of Sommerfeld's to see quite early what are the important problems and how they will finally be solved. I remember that later on, when I had to write about Sommerfeld, I studied his papers. I found a talk which he had given in the year 1910 or '11, at the Physical Society in Germany. At that time, of course, everybody spoke about the success of relativity and so on, but quantum theory was completely unclear. There was only the Planck paper and Einstein's paper on the light quanta which nobody believed. And Sommerfeld said, 'Well relativity is now such a nice subject, and many people think that is an interesting success, and, of course, it is most interesting. 'But,' he says, relativity is in some ways finished now — special relativity. It has been solved by Einstein, and that was a great achievement. But the most interesting part of physics at the present is quantum theory; that is the key to all the problems of chemistry. That is the key to—, and then he had a long list of what quantum theory would once be the key. And I was greatly impressed by this possibility of Sommerfeld to see so early what the point was. That was his force. So when Bohr's paper had appeared in 1918 and 1920, and so on, he knew that Bohr was right about the system of the elements, in spite of the fact that nothing came out from mathematics. I mean, it was all intuition from Bohr, but Sommerfeld at once could see, Well, that is the right way to go. And Wien disliked this tremendously because he felt, Well, only people who have that kind of intuition can take part in the game. And the people who haven't, well, they just can't help it, that's it. I would say that was one of the reasons — that you could not use the standard methods of doing things, you could not use your classical way of calculating things. It was such a funny situation; you always had to work in a kind of fog of uncertain knowledge, and so on. And Sommerfeld liked it; he felt, Now I see how things are connected, and that's enough. Well, the two personalities, Wien and Sommerfeld, were very different in this way, and therefore, it was quite natural that they wouldn't understand each other. I remember that this difference between the two came sometimes to very hard fights, and the worst of all was later. After quantum mechanics had been pubblished — the papers of Born and Jordan and myself — and the Schrödinger papers had appeared, then Willy Wien was enthusiastic about Schrodinger's way of doing things. He hoped that now everything would come back to classical physics. So he never wanted to hear anything about quantum mechanics and he just disliked it. But he was interested in wave mechanics, so he had invited Schrodinger to give a talk about wave mechanics at the University here. This invitation was sent out simultaneously by Sommerfeld and Wien, and the lecture actually took place in Sommerfeld's lecture room. So Schrodinger gave a talk. At that time had the idea that really the stationary states were not energy states, but just frequencies, that the whole thing comes down to classical physics. You have to have a continuous wave around the atomic nucleus and that has a frequency and so on; you know the kind of philosophy. Now, Sommerfeld, of course, you kmow, he was not so certain in this kind of thing. He was not quite certain whether he should criticize Schrodinger or not. In some way he felt, Well, this is very beautiful, what Schrodinger does, and it certainly was. And so, he thought, It may be true, and quantum theory may not be true, and so on. So I started at that time — but I was a very young man — to argue with Schrodinger. And Willy Wien was simply furious. I criticized Schrodinger; I said, Well, that cannot be true because when you make these assumptions, you cannot even explain Planck's law. That was simple thermodynamics; I mean, that was clear from Einstein's paper of 1918, and so on. But Willy Wien got up and almost threw me out of the lecture room. He said, Young man you still have to learn physics, and it will be better if you sit down! or something like that, you know. So he was so angry. And then he said, Well, there may be still some difficulties with Planck's law; we have no doubt that Mr. Schrodinger will solve these difficulties. We need not worry about this at all. Well, that was the hind of situation it was."
When did you actually learn enough English so that you read scientific papers in English?,"Well, actually, I should say in Copenhagen. I might come to this point later on. When I came to Copenhagen, it was arranged that I should stay with a very nice old lady who played a big role in [Bohr's] Institute; that was Mrs. Maar. Mrs. Maar was a widow, and she had a nice house, and she had a habit of having young people from Bohr's Institute living with her. Oscar Klein had been the first to live with her, Kramers was in her house quite frequently, and I was either the successor of Klein or of Kramers, I don't know which. This was my first longer trip, for half a year, to Copenhagen. My first longer trip. She was very much interested in these young people and she realized very soon that it was very important for a young German to learn languages. I decided for myself that if I lived in Denmark that I wanted to learn Danish. At the same time, being at the Institute, I had to learn English. I first concentrated on Danish. Every day after lunch, she took one or two hours out of her day's work and talked Danish with me, and read newspapers. So I actually did acquire the Danish rather soon — not very well, but so that I could get along. At the same time, then very soon also, we took up English. After about ten or twelve weeks in Copenhagen, Bohr asked me to give a talk at the Colloquium, and I expected that this talk should be in Danish, so I prepared my talk in Danish. I was quite proud that I had now prepared a good talk, as I thought. Just half an hour before the Colloquium started, Bohr told me, Well, it's obvious that we talk in English. That was, of course, very bad. Well, I tried the best I could, but I think it was extremely poor. But anyway, through Mrs. Maar, who really had done a lot of work with me, and was extremely kind to me, I did learn the two languages fairly well after a while. It was only from this time on that I really could read English without difficulty. I had read some English papers already in Munich, but only with some difficulty. I never had English in school — at that time we only had French in school. Well, I knew a bit of English from my mother. She had thought that I should learn English, so she had made a little effort while I was in school to teach me English, but not very efficiently."
How did Sommerfeld’s willingness to accept contradictions in quantum mechanics contribute to the development of the theory?,"I would say that this was a problem in Munich in so far as people saw that one couldn’t have both at the same time. You can’t say that light is waves and light are light quanta without making contradictions. On the other hand, I think, it was clear in Munich that somehow one had to take the contradiction and had to consider it as a part of physics for an unknown reason. One said, ‘Well, something hasn’t been understood here, but in some way it looks as if there were light quanta and in some way it also looks as if there were waves, and we just don’t understand what it is all about.’ But I think nobody in Munich would have dared to say there can’t be light quanta because we have interference patterns, and also he wouldn’t dare to say that we can’t have interference of optical waves because there are the light quanta. So I think the Einstein paper of 1918 had made a very strong impression on everybody because one could see there that the light quanta are a reality and have to do with this business of the stationary states and so on. And still the waves as well have some kind of reality, and so one simply got into the habit of contradictions, as something which one must face."
"I mean one didn’t simply say, ‘Well, this is all nonsense.’ That was the main difference between the Sommerfeld Institute and Wien’s Institute. In Sommerfeld’s Institute, the people dared to be inconsistent, to simply say, ‘Well, we know that it is inconsistent. Well, we can’t have it, but we have to take it. We just see that nature is that way, and nature manages to get through it.’ That is a different question.",How did the difference in attitude towards contradictions between Sommerfeld and Wien influence the acceptance of quantum mechanics?
How did Pauli’s failure to calculate the hydrogen molecule ion signal the beginning of a crisis in quantum theory?,"We apparently could calculate stationary states and when Bohr’s paper came out on the Periodic System, the first idea was, ‘Well, now Bohr has actually succeeded in calculating the stationary states of all the different atoms.’ Everybody was very happy and said, ‘Well, that’s just excellent.’ I think that was the general attitude. The idea that one really came into a crisis, namely that this calculation of the stationary states was simply wrong, did not occur to people in ’20 and ’21."
How did the early recognition of the limitations of earlier quantum models contribute to the development of quantum field theory?,"I think the first instance when this occurred was when Pauli had tried to calculate the hydrogen molecule ion and didn’t succeed. That made a strong impression on Sommerfeld and on many people in the Munich Institute. Then, of course, one tried to find excuses: ‘Well, why should it perhaps not go? Why should it not work in the hydrogen molecule ion, but only in the hydrogen atom?’ But in some way that was the first moment when really this confidence was shaken."
How did the Bothe-Geiger experiments and Bohr’s perspective contribute to the resolution of debates about statistical conservation of energy?,"I would say that most people would have, at that time, said, ‘Well, it looks as if energy and momentum are only conserved statistically.’ But they would not be apt to take it very seriously. They would say, ‘Well, we don’t understand. We have the wave there, we have the light quanta, both things must be right somehow, but we don’t know what somehow means. It looks as if the whole thing was only statistical, but it also sometimes looks as if it was not statistical, so we just don’t know.’ It was only much later that one really could, by experiments, decide whether or not energy was conserved in the single acts. This was in the Bothe-Geiger experiments. That was, of course, a very important step. May I just come to this later period for one moment? I remember that already before the Bothe-Geiger experiment was really carried out that Bohr felt that it should come out the way it later did come out, that this statistical conservation was not the real point. So Bohr had in some way already talked himself out of this idea of only statistical conservation, probably because he had seen that this brought very great difficulties in many places in physics. So one simply came back to the old situation and one felt, ‘Well, it looks as if it was only statistical, but really when you check it, it is not statistical, and so we just don’t understand what happens.’ It was only later on that one felt — that was also, of course, due to Bohr — that all these words don’t really get hold of the real situation. So that the word light quantum, or wave and so on, each such word always implied certain pictures which are not correct. Therefore, one could not get the whole thing to fit."
"Why did physicists initially push quantum theory away, and how did they perceive its contradictions compared to classical physics?","I would describe the whole story perhaps in this sense, that up to the time around 1918 most physicists had in some way pushed quantum theory away. One knew, of course, about the paper of Planck and the papers of Einstein and so on, but still this was, so to say, a rather disagreeable feature of physics that was better not to talk about, you know. So nobody really liked to take these things seriously because one understood that then one got into all kinds of contradictions and troubles. I remember that Otto Stern once told me that when he had read about the first Bohr paper, that he had said to some of his friends, ‘Well, if that is correct, what Bohr says in his paper, then I give up physics. That’s really no use.’ You know, that was the kind of tendency because up to that time one had this wonderful closed classical physics without any contradiction, with a perfect mathematical scheme, with the nice techniques of Hamilton and so on, and now all of a sudden somebody introduced a lot of contradictions into this scheme. Therefore, most physicists just preferred not to talk about it."
How did the Stark effect and the Bohr theory contribute to a growing interest in quantum theory despite early resistance?,"Then there came the Stark effect, and the great success of the Bohr theory; that, of course, made some people listen. They said, ‘Well, all right; that must be something.’ Then gradually interest arose, and I think Sommerfeld did a lot by writing his book, so he aroused some interest, widely, but still not too successfully. Then there came the Bohr papers. First of all these papers were published at the place where they were difficult to be found; then it was partly in English, so people in Germany wouldn’t realize too much about these papers. But gradually there came some interest at many places."
What role did the invitation of Niels Bohr to Göttingen play in shifting the focus of theoretical physics at the institute?,"I think in Gottingen the situation was just like that. They had heard about his paper; they had some connection, of course, with Munich and some with Copenhagen. So Born at some time must have decided, ‘Well, after all, now, the theory of the crystals is getting a bit annoying. I have done it so many years, why shouldn’t I try something else? There is this Niels Bohr, and that seems to be exciting stuff. Nobody knows what it is all about; shall we not invite Niels Bohr?’ Then there was Franck who had done some work in that direction, so they both decided to invite Niels Bohr for a meeting. And apparently, from this time on, perhaps as a consequence of the meeting, or perhaps from former ideas, he decided, ‘Now I will change my institute into an institute where we really do these things. When we really get into these problems, we might be able to do something in the research.’ So I think that is also the reason you stated in your papers why in Gottingen there was a clear change from one direction in theoretical physics to a new direction in theoretical physics just around the Bohr meeting. The Bohr meeting was a part of this change — an essential part of this change."
"How did the Bohr meeting signify a breakthrough for quantum theory, and which centers of physics showed the most interest afterward?","So I think in some way you may say that this was just the time of a kind of break-through. Many people had been gradually a bit interested in these things, but many other people said, ‘Well, it’s just so disagreeable.’ Then all of a sudden they said, ‘Well, there must be something in it. There is something; we don’t know what, but now we shall try to do something about it.’ Still, after the meeting, I think, the real interest was limited to a few centers. There was Munich, of course; there was Copenhagen; very little in Cambridge — Cambridge only through the connection to Bohr. Perhaps there was a bit at Hamburg; I don’t know whether Lenz had already gone to Hamburg at that time. Pauli was at Hamburg also for some time. But it just started, you know."
What role does the theory of relativity play in modern physics?,"Within the field of modern physics, the theory of relativity has always played a very important role. It was in this theory that the necessity for a change in the fundamental principles of physics was recognized for the first time."
How is the theory of relativity different from quantum theory in terms of development?,"In some sense, it may be said that contrary to quantum theory, the development of the theory of relativity from the final recognition of the difficulties to their solution has taken only a very short time."
What was the significance of Michelson's experiment and Einstein's paper?,"The repetition of Michelson's experiment by Morley and Miller in 1904 was the first definite evidence for the impossibility of detecting the translational motion of the earth by optical methods, and Einstein's decisive paper appeared less than two years later."
What earlier development led to the theory of relativity?,"On the other hand, the experiment of Morley and Miller and Einstein's paper were only the final steps in a development which had started very much earlier and which may be summarized under the heading 'electrodynamics of moving bodies.'"
Why was the electrodynamics of moving bodies important?,"Obviously, the electrodynamics of moving bodies had been an important field of physics and engineering ever since electromotors had been constructed."
What problem arose in the field of electrodynamics due to Maxwell's discovery?,"A serious difficulty had been brought into this subject, however, by Maxwell's discovery of the electromagnetic nature of light waves. These waves differ in one essential property from other waves, for instance, from sound waves: they can be propagated in what seems to be empty space."
How does light differ from sound in terms of propagation?,"When a bell rings in a vessel that has been evacuated, the sound does not penetrate to the outside. But light does penetrate easily through the evacuated volume."
What was the assumed nature of light waves before relativity?,"Therefore, one assumed that light waves could be considered as elastic waves of a very light substance called ether which could be neither seen nor felt but which filled the evacuated space as well as the space in which other matter, like air or glass, existed."
What question arose about light waves and ether?,"The idea that electromagnetic waves could be a reality in themselves, independent of any bodies, did at that time not occur to the physicists. Since this hypothetical substance ether seemed to penetrate through other matter, the question arose: What happens if the matter is set into motion? Does the ether participate in this motion and if this is the case how is a light wave propagated in the moving ether?"
Why are experiments relevant to the motion of bodies and ether difficult?,"Experiments are difficult because the velocities of moving bodies are usually very small compared to the velocity of light. Therefore, the motion of these bodies can only produce very small effects, which are proportional to the ratio of the velocity of the body to the velocity of light, or to a higher power of this ratio."
What experiments measured small effects in the motion of bodies?,"Several experiments by Wilson, Rowland, Roentgen and Eichenwald, and Fizeau permitted the measurement of such effects with an accuracy corresponding to the first power of this ratio."
How did Lorentz's theory of electrons contribute to understanding these effects?,The theory of the electrons developed by Lorentz in 1895 was able to describe these effects quite satisfactorily.
"What new situation did the Michelson, Morley, and Miller experiment create?","The experiment of Michelson, Morley, and Miller created a new situation, as it did not reveal the expected effects, leading to a reevaluation of assumptions about the ether."
What was the main objective of experimenting with bodies of high velocity?,"To get bigger effects and more accurate results, it seemed best to do experiments with bodies of very high velocity. The earth moves around the sun with a velocity of roughly 20 miles/sec."
What was the expected effect of the motion of the ether on the velocity of light?,"If the ether is at rest with respect to the sun and does not move with the earth, this motion of the ether with respect to the earth should make itself felt in a change of the velocity of light. The velocity of light should differ depending on whether it is propagated in a direction parallel or perpendicular to the motion of the ether."
How did altitude factor into the expected effects of the ether's motion?,"Even if the ether should partly move with the earth, there should be some effect due to what one may call wind of the ether, and this effect would then probably depend on the altitude above sea level at which the experiment is carried out."
Why was the expected effect from the ether's motion very small?,"A calculation of the expected effect showed that it should be very small, since it is proportional to the square of the ratio of the velocity of the earth to that of the light."
What was the challenge in conducting experiments to measure the effect of the ether's motion?,One therefore had to carry out very careful experiments on the interference of two beams of light traveling parallel or perpendicular to the motion of the earth.
What was the result of Michelson's initial 1881 experiment?,"The first experiment of this kind, carried out by Michelson in 1881, had not been sufficiently accurate."
How did later repetitions of Michelson's experiment fare?,Even later repetitions of the experiment did not reveal the slightest signs of the expected effect.
What did the experiments of Morley and Miller in 1904 demonstrate?,The experiments of Morley and Miller in 1904 could be considered as definite proof that an effect of the expected order of magnitude did not exist.
How did the results of Morley and Miller's experiment challenge previous assumptions?,The negative result of the experiment revived the idea that the 'principle of relativity' could be true in electrodynamics as well as Newtonian mechanics.
What is the principle of relativity in Newtonian mechanics?,"In Newton's mechanics, the 'principle of relativity' states that if a system of reference fulfills the laws of Newtonian mechanics, this is also true for any other frame of reference in uniform nonrotating motion with respect to the first system."
How was the principle of relativity applied to optics and electrodynamics?,"In optics or electrodynamics, it was previously thought that the principle of relativity could not be true, as the motion of a system with respect to the ether should be recognized by effects like those considered in Michelson's experiment."
What did Fizeau's 1851 experiment seem to contradict?,Fizeau's 1851 experiment seemed to contradict the principle of relativity. He measured the velocity of light in a moving liquid and found that the total velocity was somewhat smaller than the sum of the velocity of the liquid and the velocity of light in the liquid at rest.
How did the negative results of recent experiments influence theoretical physicists?,"The negative results of recent experiments, which failed to recognize motion 'with respect to the ether,' inspired theoretical physicists and mathematicians to search for mathematical interpretations that reconciled the wave equation for the propagation of light with the principle of relativity."
What did Lorentz suggest in 1904?,"Lorentz suggested in 1904 a mathematical transformation that fulfilled the requirements of the principle of relativity. He introduced the hypothesis that moving bodies are contracted in the direction of motion and that there are different 'apparent' times in different reference frames, which replace 'real' time."
Who else discussed similar ideas to Lorentz's transformation?,"Similar ideas had been discussed by Poincare, Fitzgerald, and other physicists."
What was the decisive step taken by Einstein in 1905?,The decisive step taken by Einstein in 1905 was to establish the 'apparent' time of the Lorentz transformation as the 'real' time and abolish what Lorentz had called 'real' time. This was a radical change in the foundations of physics.
What change did Einstein's paper in 1905 introduce?,"Einstein's paper in 1905 introduced a change in the structure of space and time. By consistently applying the Lorentz transformation, he showed that space and time were interconnected in a new way, leading to the abolition of the ether and a new understanding of light waves and electromagnetic fields."
How did the concept of ether change after Einstein's 1905 paper?,"After Einstein's 1905 paper, the concept of ether was abolished. Since all systems of reference in uniform translation motion with respect to each other are equivalent, the idea of a stationary ether in only one of these systems was unnecessary."
What is the new understanding of light waves and electromagnetic fields after Einstein's paper?,"The new understanding is that light waves propagate through empty space and that electromagnetic fields are a reality of their own, capable of existing in empty space without the need for the ether."
Why is it difficult to describe the change in space and time without mathematics?,It is difficult because the common words 'space' and 'time' refer to an idealized and oversimplified version of the real structure of space and time. A proper description requires mathematical language.
How does Einstein define 'past' and 'future' in the context of relativity?,"Einstein defines 'past' as all the events that we could know about or hear about in principle, and 'future' as all the events that we could influence or change in principle. This definition remains invariant against the motion of the observer."
Does the content of 'past' or 'future' depend on the observer's state of motion?,"No, the content of 'past' and 'future' does not depend on the state of motion or other properties of the observer. This is true in both Newtonian mechanics and Einstein's theory of relativity."
How does classical theory view the relationship between the future and past?,"In classical theory, the future and past are assumed to be separated by an infinitely short time interval, which is called the present moment."
How does the theory of relativity differ in its view of the relationship between the future and past?,"In the theory of relativity, future and past are separated by a finite time interval, the length of which depends on the distance from the observer. The situation is different because events are connected by light signals that can only propagate at or below the speed of light."
What is the 'present time' for an observer in relativity?,"The 'present time' for an observer is the finite time interval between two characteristic times: one when a light signal is sent from an event to reach the observer, and the other when a light signal is sent by the observer to reach the event."
What does the phrase 'may be called' refer to in the concept of simultaneity in relativity?,"The phrase 'may be called' highlights an ambiguity in the term 'simultaneous,' which arises because it has been formed from daily life experience where the velocity of light is considered infinitely high. In relativity, simultaneity can be defined differently."
How does Einstein define simultaneity in his papers?,"Einstein defines simultaneity as follows: when two events happen at the same point in space at the same time, they coincide. If two events happen at different points in space, they can be considered simultaneous if light signals from both events meet at a common point in space at the same time."
What is one consequence of the relativity of simultaneity?,One important consequence is that two events that are simultaneous for one observer may not be simultaneous for another observer who is in motion relative to the first observer.
How is the connection between the two definitions of simultaneity established?,"The connection is established by stating that if two events are simultaneous in the first sense (with light signals coinciding at a point), one can always find a reference frame in which they are also simultaneous in the second, narrower sense (with light signals meeting at the midpoint between the events)."
How does the first definition of simultaneity in relativity relate to daily life?,"The first definition of simultaneity in relativity is closer to its use in daily life because, in daily life, the question of whether two events are simultaneous does not depend on the frame of reference."
What is the role of the physicist in modifying classical terms in relativity?,"In the theory of relativity, physicists have tried to refine the meanings of classical terms, making them more precise to fit the new understanding of nature presented by relativity."
What is the general law of nature related to the principle of relativity?,"The general law of nature related to the principle of relativity is that the laws take the same form in all systems of reference, which differ only by a uniform translational motion, and they are invariant under the Lorentz transformation."
What is one of the most important consequences of the theory of relativity?,"One of the most important consequences of the theory of relativity is the inertia of energy, or the equivalence of mass and energy. Energy contributes to mass, and the mass of energy is given by energy divided by the square of the velocity of light."
Why is the connection between mass and energy not observed before the theory of relativity?,"Before the theory of relativity, the connection between mass and energy was not observed because even large amounts of energy correspond to a very small amount of mass, which was not noticeable in everyday situations."
How are the conservation of mass and charge affected by the theory of relativity?,"The conservation of mass and charge lose their separate validity and are combined into a single law of conservation of energy or mass, according to the theory of relativity."
How has the equivalence of mass and energy been experimentally supported?,The equivalence of mass and energy has been supported by experiments showing that elementary particles can be created from kinetic energy and annihilated to form radiation. The enormous energy released in atomic explosions also provides proof of this concept.
